index,viewed,gender,grade,nevents,ndays_act,nplay_video,nchapters,age,votes,num_words,true class,SVM prediction,SVM anchor,SVM precision,SVM coverage,MLP prediction,MLP anchor,MLP precision,MLP coverage
321,0.0,1.0,0.0,2.0,1.0,197757.0,0.0,29.0,1.0,28.0,?,fail,ndays_act <= 5.00,1.0,0.7896,fail,nevents <= 205.00,1.0,0.7495
322,0.0,1.0,0.0,1.0,1.0,197757.0,0.0,26.0,0.0,313.0,?,fail,grade <= 0.00,1.0,0.8078,fail,nevents <= 2.00,1.0,0.3183
323,0.0,1.0,0.0,1.0,1.0,197757.0,0.0,20.0,0.0,29.0,?,fail,ndays_act <= 1.00,1.0,0.4723,fail,nevents <= 205.00,1.0,0.7462
324,1.0,1.0,0.79,11461.0,96.0,1062.0,18.0,23.0,3.0,204.0,?,pass,nchapters > 3.00 AND nevents > 205.00 AND age <= 29.00 AND viewed = viewed AND ndays_act > 5.00 AND grade > 0.00,0.07899159663865546,0.0803,pass,nevents > 205.00 AND nchapters > 3.00 AND nplay_video > 362.00,0.2924731182795699,0.035
325,1.0,1.0,0.0,25.0,1.0,2.0,1.0,20.0,0.0,91.0,?,fail,nevents <= 205.00,1.0,0.7516,fail,nevents <= 205.00,1.0,0.7441
326,1.0,1.0,0.0,25.0,2.0,8.0,2.0,26.0,0.0,72.0,?,fail,nevents <= 205.00,1.0,0.7545,fail,nevents <= 205.00,1.0,0.7553
327,1.0,1.0,0.0,20.0,1.0,2.0,1.0,22.0,0.0,36.0,?,fail,grade <= 0.00,1.0,0.81,fail,nevents <= 205.00,1.0,0.7508
328,0.0,0.0,0.0,0.0,4.0,197757.0,0.0,20.0,0.0,24.0,?,fail,nevents <= 205.00,1.0,0.754,fail,nevents <= 2.00,1.0,0.3011
329,1.0,1.0,0.0,142.0,10.0,9.0,3.0,28.0,1.0,241.0,?,fail,nevents <= 205.00,1.0,0.7476,fail,grade <= 0.00,1.0,0.812
330,0.0,0.0,0.0,2.0,1.0,197757.0,0.0,19.0,0.0,62.0,?,fail,nplay_video <= 197757.00,1.0,1.0,fail,nevents <= 24.00,1.0,0.5071
331,0.0,0.0,0.0,1.0,1.0,197757.0,0.0,21.0,1.0,180.0,?,fail,num_words > 96.00,1.0,0.241,fail,nevents <= 2.00,1.0,0.3106
332,0.0,1.0,0.0,1.0,1.0,197757.0,0.0,33.0,0.0,198.0,?,fail,viewed = not viewed,1.0,0.3863,fail,nevents <= 2.00,1.0,0.295
333,0.0,1.0,0.0,2.0,1.0,197757.0,0.0,20.0,0.0,50.0,?,fail,nplay_video <= 197757.00,1.0,1.0,fail,nevents <= 2.00,1.0,0.3054
334,1.0,0.0,0.0,418.0,9.0,39.0,2.0,38.0,0.0,10.0,?,fail,num_words <= 49.00,1.0,0.5029,fail,grade <= 0.00,0.9929824561403509,0.8094
335,1.0,1.0,0.0,140.0,5.0,7.0,2.0,67.0,0.0,60.0,?,fail,votes <= 1.00,1.0,0.8688,fail,nevents <= 205.00,1.0,0.749
336,1.0,1.0,0.0,237.0,8.0,12.0,5.0,25.0,1.0,85.0,?,fail,nplay_video <= 362.00,1.0,0.5026,fail,nplay_video <= 197757.00 AND grade <= 0.00,1.0,0.8094
337,1.0,1.0,0.0,52.0,3.0,4.0,2.0,22.0,1.0,114.0,?,fail,nplay_video <= 197757.00,1.0,1.0,fail,nevents <= 205.00,1.0,0.7436
338,0.0,1.0,0.0,0.0,1.0,197757.0,0.0,52.0,0.0,31.0,?,fail,viewed = not viewed,1.0,0.3817,fail,nevents <= 2.00,1.0,0.3045
339,1.0,1.0,0.0,139.0,2.0,16.0,3.0,25.0,9.0,24.0,?,fail,nevents <= 205.00,1.0,0.7419,fail,nevents <= 205.00,1.0,0.7442
340,1.0,1.0,0.01,438.0,3.0,58.0,3.0,22.0,0.0,79.0,?,fail,nchapters <= 3.00,1.0,0.8465,fail,ndays_act <= 5.00 AND nchapters <= 3.00,1.0,0.7571
341,0.0,1.0,0.0,5.0,1.0,197757.0,0.0,19.0,1.0,14.0,?,fail,ndays_act <= 5.00,1.0,0.7859,fail,nevents <= 24.00,1.0,0.503
342,1.0,1.0,0.0,40.0,2.0,4.0,2.0,28.0,3.0,644.0,?,fail,num_words > 96.00,1.0,0.2401,fail,nevents <= 205.00,1.0,0.7472
343,1.0,1.0,0.0,140.0,1.0,65.0,2.0,0.0,2.0,74.0,?,fail,grade <= 0.00,1.0,0.8132,fail,nevents <= 205.00,1.0,0.7539
344,1.0,0.0,0.0,157.0,5.0,30.0,2.0,25.0,0.0,11.0,?,fail,nplay_video <= 197757.00,1.0,1.0,fail,nevents <= 205.00,1.0,0.7546
345,0.0,1.0,0.0,0.0,0.0,197757.0,0.0,23.0,0.0,184.0,?,fail,grade <= 0.00,1.0,0.8045,fail,nevents <= 2.00,1.0,0.3056
346,1.0,1.0,0.03,1516.0,11.0,78.0,3.0,32.0,0.0,51.0,?,fail,nplay_video <= 197757.00,1.0,1.0,fail,nplay_video > 20.00 AND age > 25.00,1.0,0.3173
347,1.0,1.0,0.5,1668.0,12.0,46.0,7.0,24.0,1.0,67.0,?,fail,num_words <= 96.00,0.9943502824858758,0.7531,fail,gender = f AND votes <= 1.00 AND nplay_video <= 362.00 AND num_words <= 96.00,1.0,0.2848
348,1.0,0.0,0.0,31.0,3.0,6.0,1.0,41.0,0.0,7.0,?,fail,nplay_video <= 197757.00,1.0,1.0,fail,nevents <= 205.00,1.0,0.7465
349,1.0,1.0,0.01,1028.0,15.0,257.0,3.0,24.0,0.0,42.0,?,fail,num_words <= 49.00,0.993421052631579,0.5136,fail,num_words <= 96.00 AND nchapters <= 3.00,1.0,0.6337
350,1.0,1.0,0.0,11.0,1.0,4.0,1.0,24.0,2.0,143.0,?,fail,nplay_video <= 197757.00,1.0,1.0,fail,nevents <= 24.00,1.0,0.5028
351,1.0,2.0,0.0,49.0,2.0,6.0,3.0,25.0,1.0,17.0,?,fail,nplay_video <= 197757.00,1.0,1.0,fail,nevents <= 24.00,1.0,0.5028
352,0.0,1.0,0.0,0.0,0.0,197757.0,0.0,19.0,0.0,20.0,?,fail,viewed = not viewed,1.0,0.3863,fail,nevents <= 2.00,1.0,0.296
353,1.0,1.0,0.0,53.0,1.0,13.0,2.0,27.0,0.0,13.0,?,fail,nevents <= 205.00,1.0,0.7475,fail,nevents <= 205.00,1.0,0.7541
354,0.0,0.0,0.0,2.0,1.0,197757.0,0.0,22.0,0.0,56.0,?,fail,nevents <= 205.00,1.0,0.7548,fail,nevents <= 205.00,1.0,0.7494
355,0.0,0.0,0.0,1.0,1.0,197757.0,0.0,28.0,0.0,443.0,?,fail,nplay_video <= 197757.00,1.0,1.0,fail,nevents <= 24.00,1.0,0.5052
356,1.0,0.0,0.0,9.0,3.0,1.0,1.0,23.0,1.0,303.0,?,fail,nevents <= 205.00,1.0,0.7436,fail,nevents <= 24.00,1.0,0.5028
357,1.0,1.0,0.0,105.0,1.0,9.0,4.0,26.0,1.0,48.0,?,fail,ndays_act <= 5.00,1.0,0.7835,fail,grade <= 0.00,1.0,0.8097
358,1.0,1.0,0.0,138.0,1.0,4.0,2.0,19.0,1.0,119.0,?,fail,nevents <= 205.00,1.0,0.7459,fail,nevents <= 205.00,0.9943181818181818,0.748
359,0.0,1.0,0.0,1.0,1.0,197757.0,0.0,32.0,0.0,69.0,?,fail,nplay_video <= 197757.00,1.0,1.0,fail,nevents <= 205.00,1.0,0.7477
360,1.0,1.0,0.0,250.0,3.0,79.0,2.0,45.0,0.0,38.0,?,fail,nplay_video <= 197757.00,1.0,1.0,fail,grade <= 0.00,1.0,0.8111
361,0.0,1.0,0.0,1.0,1.0,197757.0,0.0,24.0,0.0,123.0,?,fail,viewed = not viewed,1.0,0.3847,fail,nevents <= 2.00,1.0,0.304
362,1.0,1.0,0.01,270.0,3.0,27.0,3.0,28.0,0.0,370.0,?,fail,age > 25.00,1.0,0.4035,fail,age > 25.00 AND nchapters <= 3.00,1.0,0.3457
363,0.0,1.0,0.0,23.0,1.0,197757.0,0.0,17.0,0.0,55.0,?,fail,ndays_act <= 5.00,1.0,0.7848,fail,nevents <= 24.00,1.0,0.5005
364,1.0,1.0,0.06,1288.0,10.0,9.0,6.0,16.0,0.0,211.0,?,fail,age <= 21.00,0.992,0.2725,fail,votes <= 0.00 AND age <= 25.00 AND gender = f AND nplay_video <= 20.00,0.9931972789115646,0.0889
365,1.0,0.0,0.01,526.0,11.0,103.0,3.0,25.0,0.0,3.0,?,fail,age <= 25.00,0.9938650306748467,0.5851,fail,nchapters <= 3.00 AND nplay_video <= 362.00 AND num_words <= 49.00,1.0,0.1963
366,1.0,1.0,0.0,91.0,4.0,197757.0,2.0,28.0,2.0,28.0,?,fail,num_words <= 96.00,1.0,0.7506,fail,nevents <= 205.00,1.0,0.7443
367,1.0,1.0,0.0,5.0,1.0,1.0,1.0,38.0,0.0,8.0,?,fail,nevents <= 24.00,1.0,0.4972,fail,nevents <= 24.00,1.0,0.5064
368,1.0,1.0,0.0,539.0,3.0,39.0,2.0,19.0,0.0,82.0,?,fail,nplay_video <= 197757.00,1.0,1.0,fail,nchapters <= 3.00,1.0,0.8502
369,1.0,1.0,0.05,2140.0,18.0,87.0,4.0,32.0,1.0,27.0,?,fail,num_words <= 49.00 AND age > 21.00,1.0,0.3671,fail,age > 29.00 AND nplay_video <= 362.00,0.9910714285714286,0.1252
370,1.0,1.0,0.0,87.0,3.0,11.0,2.0,23.0,0.0,56.0,?,fail,nplay_video <= 197757.00,1.0,1.0,fail,nevents <= 205.00,1.0,0.7532
371,1.0,1.0,0.01,597.0,8.0,144.0,3.0,24.0,0.0,73.0,?,fail,nplay_video <= 197757.00,1.0,1.0,fail,nchapters <= 3.00,0.9946236559139785,0.8552
372,1.0,1.0,0.0,90.0,1.0,25.0,2.0,16.0,0.0,34.0,?,fail,ndays_act <= 5.00,1.0,0.7874,fail,nevents <= 205.00,1.0,0.7482
373,1.0,1.0,0.0,987.0,7.0,329.0,2.0,21.0,3.0,48.0,?,fail,nplay_video <= 197757.00,1.0,1.0,fail,grade <= 0.00 AND nplay_video <= 362.00,1.0,0.3592
374,0.0,1.0,0.0,0.0,0.0,197757.0,0.0,31.0,1.0,111.0,?,fail,nplay_video <= 197757.00,1.0,1.0,fail,nevents <= 2.00,1.0,0.3059
375,1.0,1.0,0.0,2.0,1.0,197757.0,1.0,27.0,0.0,88.0,?,fail,nevents <= 2.00,1.0,0.3082,fail,nevents <= 2.00,1.0,0.3058
376,0.0,0.0,0.0,0.0,1.0,197757.0,0.0,19.0,0.0,90.0,?,fail,ndays_act <= 5.00,1.0,0.793,fail,nevents <= 2.00,1.0,0.3172
377,0.0,1.0,0.0,0.0,0.0,197757.0,0.0,19.0,0.0,60.0,?,fail,nplay_video <= 197757.00,1.0,1.0,fail,nevents <= 2.00,1.0,0.3101
378,0.0,1.0,0.0,3.0,1.0,197757.0,0.0,25.0,2.0,327.0,?,fail,viewed = not viewed,1.0,0.3872,fail,nevents <= 24.00,1.0,0.515
379,1.0,1.0,0.0,58.0,1.0,8.0,2.0,38.0,0.0,20.0,?,fail,nplay_video <= 362.00,1.0,0.5084,fail,nevents <= 205.00,1.0,0.7546
380,1.0,1.0,0.0,19.0,2.0,6.0,2.0,25.0,0.0,16.0,?,fail,nplay_video <= 20.00,1.0,0.2531,fail,nevents <= 24.00,1.0,0.4986
381,1.0,0.0,0.01,639.0,4.0,149.0,3.0,21.0,0.0,28.0,?,fail,votes <= 1.00,1.0,0.8712,fail,nchapters <= 3.00,1.0,0.853
382,1.0,1.0,0.06,2931.0,26.0,369.0,6.0,22.0,0.0,26.0,?,fail,23.00 < num_words <= 49.00,0.991869918699187,0.2441,fail,num_words <= 49.00 AND age > 21.00 AND gender = f,0.9926470588235294,0.3008
383,1.0,1.0,0.16,1172.0,7.0,7.0,7.0,29.0,0.0,169.0,?,fail,num_words > 49.00,0.9959514170040485,0.4956,fail,25.00 < age <= 29.00 AND nplay_video <= 20.00 AND gender = f AND votes <= 0.00 AND ndays_act > 1.00 AND num_words > 49.00,1.0,0.0073
384,1.0,1.0,0.0,32.0,2.0,3.0,3.0,19.0,0.0,11.0,?,fail,num_words <= 96.00,1.0,0.7554,fail,nevents <= 205.00,1.0,0.7507
385,1.0,2.0,0.03,103.0,3.0,2.0,3.0,25.0,0.0,3.0,?,fail,nplay_video <= 197757.00,1.0,1.0,fail,nevents <= 205.00,1.0,0.7507
386,1.0,1.0,0.93,4770.0,59.0,150.0,17.0,20.0,0.0,24.0,?,fail,num_words <= 96.00,1.0,0.7527,pass,nevents > 205.00 AND ndays_act > 5.00 AND nchapters > 3.00 AND age <= 21.00 AND nplay_video <= 197757.00 AND 23.00 < num_words <= 96.00 AND votes <= 1.00,0.29411764705882354,0.0146
387,1.0,1.0,0.0,16.0,2.0,2.0,1.0,18.0,0.0,89.0,?,fail,nplay_video <= 197757.00,1.0,1.0,fail,nevents <= 205.00,1.0,0.7539
388,0.0,1.0,0.0,2.0,1.0,197757.0,0.0,34.0,0.0,5.0,?,fail,viewed = not viewed,1.0,0.3809,fail,nevents <= 205.00,1.0,0.7436
389,1.0,1.0,0.0,30.0,2.0,3.0,2.0,38.0,0.0,64.0,?,fail,nplay_video <= 197757.00,1.0,1.0,fail,nchapters <= 3.00,1.0,0.8482
390,1.0,1.0,0.0,44.0,1.0,8.0,3.0,26.0,1.0,67.0,?,fail,grade <= 0.00,1.0,0.8076,fail,nevents <= 205.00,1.0,0.7533
391,0.0,1.0,0.0,1.0,1.0,197757.0,0.0,21.0,0.0,522.0,?,fail,viewed = not viewed,1.0,0.3858,fail,nevents <= 205.00,0.9943820224719101,0.7516
392,0.0,1.0,0.0,1.0,1.0,197757.0,0.0,20.0,0.0,22.0,?,fail,viewed = not viewed,1.0,0.3704,fail,nevents <= 2.00,1.0,0.3072
393,1.0,0.0,0.0,150.0,3.0,21.0,2.0,40.0,0.0,74.0,?,fail,nplay_video <= 197757.00,1.0,1.0,fail,grade <= 0.00,1.0,0.8092
394,0.0,1.0,0.0,4.0,1.0,197757.0,0.0,25.0,0.0,22.0,?,fail,nplay_video <= 197757.00,1.0,1.0,fail,nevents <= 24.00,1.0,0.504
395,1.0,1.0,0.0,90.0,2.0,12.0,2.0,24.0,0.0,69.0,?,fail,nplay_video <= 197757.00,1.0,1.0,fail,nevents <= 205.00,1.0,0.7446
396,0.0,1.0,0.0,1.0,1.0,197757.0,0.0,32.0,0.0,26.0,?,fail,nevents <= 24.00,1.0,0.5027,fail,nevents <= 2.00,1.0,0.3116
397,1.0,1.0,0.0,6.0,1.0,2.0,1.0,16.0,0.0,10.0,?,fail,nplay_video <= 197757.00,1.0,1.0,fail,nevents <= 24.00,1.0,0.5036
398,1.0,2.0,0.0,10.0,1.0,2.0,1.0,25.0,1.0,32.0,?,fail,nplay_video <= 197757.00,1.0,1.0,fail,nevents <= 24.00,1.0,0.5016
399,1.0,1.0,0.0,1293.0,10.0,185.0,14.0,22.0,0.0,0.0,?,fail,grade <= 0.00,0.9945054945054945,0.8117,fail,votes <= 1.00 AND grade <= 0.00,1.0,0.7142
400,1.0,0.0,0.0,8.0,1.0,2.0,1.0,24.0,0.0,22.0,?,fail,nevents <= 24.00,1.0,0.4977,fail,nevents <= 24.00,1.0,0.501
401,0.0,1.0,0.0,1.0,1.0,197757.0,0.0,32.0,-4.0,91.0,?,fail,ndays_act <= 5.00,1.0,0.7866,fail,nevents <= 2.00,1.0,0.3088
402,1.0,1.0,0.0,149.0,1.0,68.0,3.0,16.0,2.0,406.0,?,fail,ndays_act <= 5.00,1.0,0.7833,fail,nevents <= 205.00,1.0,0.7525
403,1.0,1.0,0.01,352.0,2.0,49.0,2.0,34.0,2.0,113.0,?,fail,nchapters <= 3.00,1.0,0.8524,fail,ndays_act <= 2.00 AND nchapters <= 3.00,1.0,0.607
404,1.0,1.0,0.0,112.0,3.0,28.0,1.0,34.0,0.0,69.0,?,fail,nevents <= 205.00,1.0,0.7523,fail,grade <= 0.00,1.0,0.8035
405,0.0,1.0,0.0,1.0,1.0,197757.0,0.0,22.0,0.0,24.0,?,fail,nevents <= 2.00,1.0,0.3018,fail,nevents <= 2.00,1.0,0.3083
406,0.0,1.0,0.0,0.0,0.0,197757.0,0.0,21.0,0.0,12.0,?,fail,nevents <= 2.00,1.0,0.308,fail,nevents <= 2.00,1.0,0.312
407,1.0,0.0,0.0,13.0,1.0,197757.0,1.0,26.0,0.0,53.0,?,fail,nevents <= 205.00,1.0,0.7487,fail,nevents <= 205.00,1.0,0.7607
408,0.0,1.0,0.0,4.0,2.0,197757.0,0.0,24.0,1.0,12.0,?,fail,nplay_video <= 197757.00,1.0,1.0,fail,nevents <= 24.00,1.0,0.4979
409,1.0,1.0,0.0,114.0,1.0,13.0,5.0,57.0,0.0,324.0,?,fail,num_words > 96.00,1.0,0.2453,fail,nevents <= 205.00,1.0,0.7463
410,0.0,1.0,0.0,40.0,2.0,197757.0,0.0,28.0,0.0,206.0,?,fail,nchapters <= 0.00,1.0,0.3887,fail,nevents <= 205.00,1.0,0.7533
411,1.0,1.0,0.0,219.0,6.0,61.0,3.0,22.0,0.0,125.0,?,fail,nchapters <= 3.00,1.0,0.8466,fail,nchapters <= 3.00 AND grade <= 0.00,1.0,0.7745
412,0.0,1.0,0.0,1.0,1.0,197757.0,0.0,22.0,0.0,73.0,?,fail,viewed = not viewed,1.0,0.3784,fail,nevents <= 2.00,1.0,0.3174
413,0.0,1.0,0.0,1.0,1.0,197757.0,0.0,18.0,1.0,361.0,?,fail,nplay_video <= 197757.00,1.0,1.0,fail,nevents <= 2.00,1.0,0.3074
414,1.0,1.0,0.01,1925.0,18.0,527.0,4.0,29.0,0.0,18.0,?,fail,gender = f,1.0,0.8289,fail,num_words <= 96.00 AND gender = f AND age > 25.00 AND votes <= 0.00,0.9904761904761905,0.1978
415,1.0,1.0,0.0,19.0,1.0,6.0,2.0,37.0,0.0,46.0,?,fail,age > 29.00,1.0,0.2368,fail,nevents <= 24.00,1.0,0.5079
416,1.0,1.0,0.0,106.0,3.0,10.0,1.0,22.0,0.0,125.0,?,fail,nplay_video <= 362.00,1.0,0.4991,fail,nevents <= 205.00,1.0,0.7483
417,0.0,1.0,0.0,3.0,1.0,197757.0,0.0,18.0,0.0,5.0,?,fail,nevents <= 24.00,1.0,0.4944,fail,nevents <= 24.00,1.0,0.4945
418,1.0,1.0,0.51,5085.0,75.0,250.0,18.0,38.0,0.0,48.0,?,fail,age > 29.00,1.0,0.2273,pass,nevents > 205.00 AND 20.00 < nplay_video <= 197757.00 AND nchapters > 3.00 AND votes <= 1.00 AND grade > 0.00 AND ndays_act > 5.00,0.2788896061975468,0.0888
419,0.0,1.0,0.0,1.0,1.0,197757.0,0.0,26.0,0.0,23.0,?,fail,nplay_video <= 197757.00,1.0,1.0,fail,nevents <= 2.00,1.0,0.3076
420,0.0,1.0,0.0,2.0,1.0,197757.0,0.0,22.0,0.0,16.0,?,fail,num_words <= 23.00,1.0,0.2559,fail,nevents <= 205.00,1.0,0.7535
421,0.0,0.0,0.0,2.0,1.0,197757.0,0.0,16.0,0.0,9.0,?,fail,ndays_act <= 2.00,1.0,0.614,fail,ndays_act <= 5.00,1.0,0.7899
422,1.0,1.0,0.0,65.0,5.0,14.0,3.0,32.0,1.0,16.0,?,fail,nplay_video <= 362.00,1.0,0.504,fail,nevents <= 205.00,1.0,0.7478
423,1.0,1.0,0.0,93.0,7.0,9.0,2.0,20.0,0.0,77.0,?,fail,nevents <= 205.00,1.0,0.7424,fail,nevents <= 205.00,1.0,0.7509
424,0.0,1.0,0.0,1.0,1.0,197757.0,0.0,19.0,0.0,32.0,?,fail,nevents <= 24.00,1.0,0.5031,fail,nevents <= 2.00,1.0,0.3064
425,1.0,1.0,0.0,122.0,2.0,12.0,4.0,29.0,0.0,92.0,?,fail,nplay_video <= 197757.00,1.0,1.0,fail,grade <= 0.00,1.0,0.8095
426,0.0,1.0,0.0,1.0,1.0,197757.0,0.0,28.0,0.0,29.0,?,fail,nchapters <= 1.00,1.0,0.5263,fail,nevents <= 2.00,1.0,0.3037
427,0.0,1.0,0.0,7.0,7.0,197757.0,0.0,30.0,0.0,27.0,?,fail,nplay_video <= 197757.00,1.0,1.0,fail,nevents <= 24.00,1.0,0.5048
428,1.0,1.0,0.0,87.0,1.0,16.0,4.0,17.0,1.0,99.0,?,fail,nevents <= 205.00,1.0,0.7591,fail,nevents <= 205.00,1.0,0.7455
429,1.0,1.0,0.0,80.0,5.0,21.0,2.0,29.0,0.0,1.0,?,fail,nevents <= 205.00,1.0,0.7479,fail,nevents <= 205.00,1.0,0.7427
430,1.0,1.0,0.24,323.0,6.0,10.0,5.0,19.0,0.0,27.0,?,fail,nplay_video <= 20.00,1.0,0.2579,fail,nplay_video <= 20.00 AND 23.00 < num_words <= 96.00 AND votes <= 0.00,0.9709302325581395,0.0844
431,0.0,1.0,0.0,2.0,2.0,197757.0,0.0,33.0,0.0,17.0,?,fail,ndays_act <= 5.00,1.0,0.7784,fail,nevents <= 2.00,1.0,0.3092
432,0.0,1.0,0.0,1.0,1.0,197757.0,0.0,22.0,0.0,502.0,?,fail,nevents <= 2.00,1.0,0.3076,fail,nevents <= 2.00,1.0,0.2992
433,1.0,1.0,0.27,3908.0,25.0,170.0,12.0,36.0,0.0,66.0,?,fail,nplay_video <= 362.00,0.99375,0.4963,fail,age > 29.00 AND num_words <= 96.00 AND votes <= 0.00 AND nplay_video <= 362.00,1.0,0.0639
434,0.0,1.0,0.0,1.0,1.0,197757.0,0.0,31.0,1.0,15.0,?,fail,nevents <= 2.00,1.0,0.3056,fail,nevents <= 205.00,1.0,0.7507
435,1.0,1.0,0.18,8788.0,46.0,963.0,12.0,19.0,0.0,7.0,?,pass,nchapters > 3.00 AND ndays_act > 5.00 AND nevents > 205.00 AND grade > 0.00 AND viewed = viewed,0.06704980842911877,0.1015,pass,nevents > 205.00 AND 362.00 < nplay_video <= 197757.00 AND num_words <= 96.00 AND votes <= 0.00 AND gender = f AND age <= 25.00 AND nchapters > 3.00 AND ndays_act > 5.00 AND grade > 0.00,0.4163346613545817,0.0087
436,0.0,0.0,0.0,2.0,2.0,197757.0,0.0,20.0,1.0,42.0,?,fail,nplay_video <= 197757.00,1.0,1.0,fail,nevents <= 2.00,1.0,0.3085
437,1.0,1.0,0.0,1.0,1.0,197757.0,1.0,21.0,1.0,20.0,?,fail,num_words <= 23.00,1.0,0.2594,fail,nevents <= 2.00,1.0,0.2994
438,1.0,1.0,0.0,9.0,2.0,1.0,1.0,36.0,1.0,46.0,?,fail,nplay_video <= 20.00,1.0,0.2584,fail,nevents <= 205.00,1.0,0.7469
439,1.0,0.0,0.71,6308.0,69.0,965.0,17.0,32.0,0.0,61.0,?,fail,nplay_video <= 197757.00,1.0,1.0,pass,nevents > 205.00 AND nplay_video > 362.00 AND nchapters > 3.00 AND ndays_act > 5.00 AND grade > 0.00 AND votes <= 1.00,0.2959572845156369,0.0347
440,1.0,1.0,0.01,425.0,4.0,44.0,3.0,16.0,0.0,41.0,?,fail,gender = f,1.0,0.8234,fail,ndays_act <= 5.00 AND nchapters <= 3.00,1.0,0.7633
441,1.0,1.0,0.0,205.0,3.0,20.0,1.0,21.0,0.0,40.0,?,fail,nevents <= 205.00,1.0,0.7429,fail,nevents <= 205.00,1.0,0.7433
