index,viewed,gender,grade,nevents,ndays_act,nplay_video,nchapters,age,votes,num_words,true class,SVM prediction,SVM anchor,SVM precision,SVM coverage,MLP prediction,MLP anchor,MLP precision,MLP coverage
10,1.0,1.0,0.83,11908.0,66.0,606.0,18.0,20.0,0.0,275.0,complete,pass,nevents > 205.00 AND nchapters > 3.00 AND grade > 0.00 AND age <= 25.00 AND ndays_act > 1.00 AND viewed = viewed,0.078,0.068,pass,nevents > 205.00 AND 362.00 < nplay_video <= 197757.00 AND ndays_act > 5.00 AND nchapters > 3.00 AND grade > 0.00 AND viewed = viewed,0.3291721419185282,0.0395
11,1.0,0.0,0.98,7857.0,54.0,1149.0,18.0,20.0,0.0,116.0,complete,pass,nevents > 205.00 AND nchapters > 3.00,0.1038961038961039,0.1278,pass,nevents > 205.00 AND 362.00 < nplay_video <= 197757.00 AND nchapters > 3.00 AND viewed = viewed AND grade > 0.00 AND ndays_act > 5.00 AND age <= 29.00,0.32426127527216175,0.0254
12,1.0,1.0,0.91,12385.0,61.0,1119.0,18.0,25.0,0.0,0.0,complete,pass,votes <= 0.00 AND nevents > 205.00 AND ndays_act > 5.00 AND nchapters > 3.00 AND grade > 0.00 AND nplay_video <= 197757.00 AND gender = f AND age > 21.00 AND viewed = viewed,0.09433962264150944,0.0425,pass,nevents > 205.00 AND nplay_video > 362.00 AND ndays_act > 5.00 AND grade > 0.00 AND nchapters > 3.00,0.44642857142857145,0.0364
13,1.0,1.0,0.76,12264.0,117.0,417.0,18.0,26.0,6.0,16.0,complete,pass,nevents > 205.00 AND votes > 0.00 AND ndays_act > 5.00 AND 20.00 < nplay_video <= 197757.00 AND nchapters > 3.00 AND viewed = viewed,0.08520179372197309,0.0332,pass,nevents > 205.00 AND 362.00 < nplay_video <= 197757.00 AND nchapters > 3.00 AND age <= 29.00 AND ndays_act > 5.00,0.2839707078925956,0.0278
14,1.0,1.0,1.0,4432.0,25.0,16.0,18.0,24.0,2.0,292.0,complete,fail,nplay_video <= 197757.00,1.0,1.0,pass,nevents > 205.00 AND num_words > 49.00 AND age <= 25.00 AND grade > 0.00 AND nchapters > 3.00 AND ndays_act > 5.00 AND gender = f AND viewed = viewed,0.275,0.0227
15,1.0,1.0,0.96,8137.0,79.0,593.0,15.0,29.0,4.0,217.0,complete,pass,nevents > 205.00 AND grade > 0.00 AND nplay_video <= 197757.00 AND nchapters > 1.00 AND ndays_act > 5.00 AND viewed = viewed,0.096045197740113,0.1504,pass,nevents > 205.00 AND nplay_video > 362.00 AND grade > 0.00 AND nchapters > 3.00 AND ndays_act > 5.00,0.3667621776504298,0.0347
16,1.0,1.0,0.9,4833.0,44.0,297.0,15.0,33.0,0.0,109.0,complete,fail,gender = f,0.9945945945945946,0.8204,pass,nevents > 205.00 AND nchapters > 3.00 AND ndays_act > 5.00 AND grade > 0.00,0.2646239554317549,0.1073
17,1.0,1.0,0.96,13300.0,94.0,567.0,18.0,25.0,0.0,5.0,complete,pass,votes <= 1.00 AND ndays_act > 2.00 AND nevents > 205.00 AND nchapters > 3.00 AND nplay_video > 20.00 AND viewed = viewed AND grade > 0.00,0.14396887159533073,0.097,pass,nevents > 205.00 AND nplay_video > 362.00 AND nchapters > 3.00 AND grade > 0.00 AND ndays_act > 5.00 AND viewed = viewed,0.3273577552611068,0.0358
18,1.0,1.0,0.9,7122.0,59.0,223.0,18.0,26.0,0.0,83.0,complete,fail,votes <= 0.00,0.9940476190476191,0.7,pass,nevents > 205.00 AND nchapters > 3.00 AND ndays_act > 5.00 AND grade > 0.00,0.2931654676258993,0.1064
19,1.0,1.0,0.93,7682.0,52.0,284.0,17.0,27.0,1.0,34.0,complete,fail,num_words <= 96.00,1.0,0.7512,pass,nevents > 205.00 AND age <= 29.00 AND 20.00 < nplay_video <= 197757.00 AND nchapters > 3.00 AND num_words > 23.00 AND grade > 0.00 AND ndays_act > 5.00 AND votes <= 1.00 AND viewed = viewed,0.269281045751634,0.0516
20,1.0,1.0,0.86,8996.0,79.0,1266.0,16.0,27.0,0.0,147.0,complete,pass,nevents > 205.00 AND grade > 0.00 AND ndays_act > 5.00 AND nchapters > 3.00 AND num_words > 23.00 AND nplay_video <= 197757.00,0.08982035928143713,0.0817,pass,nevents > 205.00 AND 362.00 < nplay_video <= 197757.00 AND age > 25.00 AND num_words > 96.00 AND votes <= 0.00 AND nchapters > 3.00 AND grade > 0.00 AND gender = f AND ndays_act > 5.00,0.34811165845648606,0.0022
21,1.0,2.0,0.9,9889.0,101.0,300.0,18.0,25.0,1.0,34.0,complete,pass,nevents > 205.00 AND viewed = viewed AND nplay_video <= 362.00 AND ndays_act > 5.00 AND 0.00 < votes <= 1.00 AND nchapters > 3.00 AND grade > 0.00,0.10467289719626169,0.0122,pass,nevents > 205.00 AND age <= 25.00 AND nchapters > 3.00 AND grade > 0.00 AND ndays_act > 5.00 AND 20.00 < nplay_video <= 197757.00 AND votes <= 1.00,0.2692307692307692,0.0509
22,1.0,1.0,0.92,6790.0,72.0,1110.0,18.0,35.0,0.0,0.0,complete,fail,age > 29.00,1.0,0.216,pass,nevents > 205.00 AND nplay_video > 362.00 AND nchapters > 3.00 AND grade > 0.00 AND ndays_act > 5.00,0.3821428571428571,0.0363
23,1.0,1.0,0.96,13667.0,55.0,348.0,16.0,24.0,0.0,84.0,complete,pass,nevents > 205.00 AND grade > 0.00 AND viewed = viewed AND nchapters > 3.00 AND votes <= 1.00 AND 20.00 < nplay_video <= 197757.00 AND ndays_act > 2.00,0.09090909090909091,0.0893,pass,nevents > 205.00 AND nchapters > 3.00 AND grade > 0.00 AND age <= 25.00 AND ndays_act > 5.00 AND 20.00 < nplay_video <= 197757.00 AND votes <= 0.00 AND viewed = viewed,0.291958041958042,0.0402
24,1.0,2.0,0.74,9523.0,67.0,822.0,18.0,25.0,1.0,15.0,complete,pass,nevents > 205.00 AND ndays_act > 5.00 AND nchapters > 3.00 AND grade > 0.00 AND votes <= 1.00 AND age > 21.00,0.09053497942386832,0.0667,pass,nevents > 205.00 AND nplay_video > 362.00 AND grade > 0.00 AND votes <= 1.00 AND ndays_act > 5.00 AND nchapters > 3.00,0.3776595744680851,0.0337
25,1.0,1.0,0.94,12431.0,81.0,676.0,18.0,25.0,0.0,180.0,complete,pass,nevents > 205.00 AND nchapters > 3.00 AND nplay_video > 20.00 AND votes <= 1.00 AND ndays_act > 5.00 AND viewed = viewed,0.09394572025052192,0.097,pass,nevents > 205.00 AND nplay_video > 362.00 AND ndays_act > 5.00 AND nchapters > 3.00 AND viewed = viewed AND grade > 0.00,0.3117744610281924,0.0406
26,1.0,1.0,0.66,3980.0,40.0,514.0,11.0,35.0,1.0,125.0,complete,fail,num_words > 96.00,1.0,0.2427,fail,age > 29.00 AND num_words > 23.00 AND votes > 0.00,0.9943181818181818,0.0631
27,1.0,1.0,0.93,2666.0,34.0,190.0,18.0,24.0,0.0,73.0,complete,fail,votes <= 0.00,1.0,0.6935,pass,nevents > 205.00 AND nchapters > 3.00 AND grade > 0.00 AND ndays_act > 5.00 AND 20.00 < nplay_video <= 197757.00 AND age <= 25.00 AND num_words > 49.00 AND votes <= 0.00,0.2617056856187291,0.0161
28,1.0,1.0,0.75,4722.0,40.0,352.0,14.0,24.0,0.0,104.0,complete,fail,age <= 25.00,0.99375,0.5941,pass,nevents > 205.00 AND age <= 25.00 AND 20.00 < nplay_video <= 197757.00 AND ndays_act > 5.00 AND num_words > 49.00 AND votes <= 0.00 AND nchapters > 3.00,0.3648351648351648,0.0183
29,1.0,1.0,0.61,9723.0,98.0,506.0,18.0,29.0,0.0,40.0,complete,pass,nevents > 205.00 AND viewed = viewed AND nchapters > 3.00 AND gender = f AND 20.00 < nplay_video <= 197757.00 AND ndays_act > 2.00 AND votes <= 1.00 AND grade > 0.00,0.11428571428571428,0.0746,pass,nevents > 205.00 AND nplay_video > 362.00 AND nchapters > 3.00 AND age <= 29.00 AND grade > 0.00 AND ndays_act > 5.00,0.3683168316831683,0.0276
30,1.0,0.0,0.95,11122.0,21.0,166.0,14.0,29.0,1.0,75.0,complete,pass,num_words > 49.00 AND nevents > 205.00 AND viewed = viewed AND nchapters > 3.00 AND ndays_act > 5.00 AND age <= 29.00 AND grade > 0.00 AND nplay_video <= 197757.00,0.08528428093645485,0.0408,pass,nevents > 205.00 AND 20.00 < nplay_video <= 197757.00 AND nchapters > 3.00 AND ndays_act > 5.00 AND grade > 0.00 AND viewed = viewed AND age <= 29.00,0.2987897125567322,0.0738
31,1.0,1.0,0.56,4262.0,46.0,29.0,16.0,32.0,1.0,2.0,complete,fail,nplay_video <= 197757.00,1.0,1.0,pass,nevents > 205.00 AND ndays_act > 5.00 AND nchapters > 3.00 AND nplay_video > 20.00 AND grade > 0.00,0.2691481746599857,0.1004
32,1.0,1.0,0.71,2282.0,27.0,160.0,13.0,23.0,2.0,35.0,complete,fail,nplay_video <= 197757.00,1.0,1.0,fail,viewed = viewed AND votes > 0.00,1.0,0.1936
33,1.0,1.0,0.64,8788.0,70.0,949.0,18.0,24.0,1.0,7.0,complete,pass,nplay_video > 20.00 AND nchapters > 3.00 AND ndays_act > 5.00 AND nevents > 24.00 AND grade > 0.00 AND viewed = viewed,0.08254716981132075,0.1008,pass,nevents > 205.00 AND nplay_video > 362.00 AND nchapters > 3.00 AND age <= 29.00 AND ndays_act > 5.00 AND grade > 0.00,0.3401688781664656,0.0257
34,1.0,1.0,0.85,2815.0,49.0,434.0,18.0,25.0,1.0,26.0,complete,fail,votes > 0.00,1.0,0.2981,fail,num_words <= 49.00 AND nplay_video <= 197757.00 AND gender = f AND 0.00 < votes <= 1.00 AND age <= 25.00,0.9858156028368794,0.032
35,1.0,1.0,0.8,7774.0,77.0,598.0,18.0,20.0,0.0,136.0,complete,fail,age <= 25.00,0.9935064935064936,0.5839,pass,nevents > 205.00 AND nplay_video > 362.00 AND ndays_act > 5.00 AND nchapters > 3.00 AND grade > 0.00,0.4243027888446215,0.0408
36,1.0,1.0,0.98,11614.0,71.0,44.0,16.0,20.0,1.0,72.0,complete,pass,nevents > 205.00 AND nchapters > 3.00 AND gender = f AND viewed = viewed AND ndays_act > 2.00,0.09847198641765705,0.1017,pass,nevents > 205.00 AND 20.00 < nplay_video <= 197757.00 AND nchapters > 3.00 AND grade > 0.00 AND votes <= 1.00 AND 23.00 < num_words <= 96.00 AND ndays_act > 5.00 AND age <= 29.00,0.25893566322478156,0.031
37,1.0,1.0,0.71,12196.0,69.0,667.0,18.0,17.0,7.0,37.0,complete,pass,nevents > 205.00 AND ndays_act > 5.00 AND 20.00 < nplay_video <= 197757.00 AND nchapters > 3.00 AND grade > 0.00 AND viewed = viewed,0.0660377358490566,0.096,pass,nevents > 205.00 AND nplay_video > 362.00 AND nchapters > 3.00 AND ndays_act > 5.00 AND viewed = viewed AND grade > 0.00,0.3391655450874832,0.0386
38,1.0,1.0,0.91,7378.0,102.0,576.0,18.0,23.0,0.0,42.0,complete,fail,num_words <= 49.00,1.0,0.492,pass,nevents > 205.00 AND nplay_video > 362.00 AND nchapters > 3.00 AND num_words <= 96.00 AND grade > 0.00 AND ndays_act > 5.00,0.3811965811965812,0.0302
39,1.0,1.0,0.98,7341.0,71.0,64.0,17.0,25.0,0.0,50.0,complete,fail,nplay_video <= 362.00,0.993421052631579,0.5024,pass,nevents > 205.00 AND nplay_video > 20.00 AND votes <= 1.00 AND age <= 29.00 AND gender = f AND num_words > 23.00 AND nchapters > 3.00 AND grade > 0.00 AND ndays_act > 5.00,0.3694029850746269,0.041
40,1.0,1.0,0.92,12784.0,94.0,128.0,18.0,32.0,0.0,68.0,complete,pass,ndays_act > 5.00 AND nevents > 205.00 AND viewed = viewed AND num_words <= 96.00 AND nplay_video <= 197757.00,0.08071748878923767,0.1437,pass,nevents > 205.00 AND nplay_video > 20.00 AND grade > 0.00 AND nchapters > 3.00 AND ndays_act > 5.00,0.2870544090056285,0.1035
41,1.0,1.0,0.71,6441.0,65.0,257.0,17.0,25.0,0.0,456.0,complete,fail,nplay_video <= 197757.00,1.0,1.0,pass,nevents > 205.00 AND age <= 29.00 AND nchapters > 3.00 AND ndays_act > 5.00 AND grade > 0.00 AND nplay_video <= 197757.00 AND votes <= 0.00,0.2891918208373905,0.0568
42,1.0,1.0,0.85,7865.0,32.0,353.0,12.0,18.0,0.0,3.0,complete,pass,nevents > 205.00 AND nchapters > 3.00 AND grade > 0.00 AND viewed = viewed AND ndays_act > 5.00 AND nplay_video <= 197757.00,0.08840864440078586,0.1049,pass,nevents > 205.00 AND nchapters > 3.00 AND age <= 25.00 AND ndays_act > 5.00 AND viewed = viewed AND grade > 0.00 AND votes <= 1.00 AND 20.00 < nplay_video <= 197757.00 AND gender = f,0.3073209975864843,0.0395
43,1.0,1.0,0.92,6717.0,76.0,652.0,18.0,30.0,0.0,49.0,complete,fail,votes <= 1.00 AND num_words <= 96.00,1.0,0.6721,pass,nevents > 205.00 AND 362.00 < nplay_video <= 197757.00 AND viewed = viewed AND grade > 0.00 AND nchapters > 3.00 AND ndays_act > 5.00,0.35064935064935066,0.039
44,1.0,1.0,0.92,4871.0,46.0,116.0,15.0,23.0,0.0,119.0,complete,fail,num_words > 96.00,0.991869918699187,0.2484,pass,nevents > 205.00 AND age <= 25.00 AND nchapters > 3.00 AND grade > 0.00 AND ndays_act > 5.00 AND viewed = viewed AND num_words > 23.00,0.2951200619674671,0.048
45,1.0,1.0,0.89,3713.0,85.0,178.0,17.0,17.0,0.0,39.0,complete,fail,num_words <= 49.00,1.0,0.5091,pass,nevents > 205.00 AND grade > 0.00 AND nchapters > 3.00 AND 20.00 < nplay_video <= 197757.00 AND ndays_act > 5.00 AND num_words <= 96.00 AND votes <= 1.00 AND age <= 21.00,0.2852589641434263,0.0181
46,1.0,1.0,0.94,6344.0,65.0,383.0,17.0,20.0,0.0,3.0,complete,fail,num_words <= 23.00,1.0,0.2537,pass,nevents > 205.00 AND nplay_video > 362.00 AND nchapters > 3.00 AND ndays_act > 5.00 AND grade > 0.00,0.39816933638443935,0.0394
47,1.0,1.0,0.92,18350.0,78.0,153.0,18.0,43.0,1.0,103.0,complete,pass,num_words > 96.00 AND nevents > 205.00 AND nplay_video <= 362.00 AND age > 29.00 AND ndays_act > 5.00 AND votes <= 1.00 AND nchapters > 3.00 AND grade > 0.00 AND viewed = viewed,0.10638297872340426,0.0026,pass,nevents > 205.00 AND nchapters > 3.00 AND 20.00 < nplay_video <= 197757.00 AND num_words > 96.00 AND gender = f AND age > 21.00,0.2501912777352716,0.0189
48,1.0,0.0,0.8,4709.0,37.0,144.0,18.0,19.0,2.0,167.0,complete,fail,age <= 25.00,0.9937888198757764,0.5869,pass,nevents > 205.00 AND age <= 21.00 AND nplay_video > 20.00 AND nchapters > 3.00 AND ndays_act > 5.00 AND grade > 0.00 AND viewed = viewed,0.2684897451833437,0.028
49,1.0,1.0,0.83,8867.0,82.0,435.0,18.0,31.0,0.0,23.0,complete,pass,nevents > 205.00 AND nchapters > 3.00,0.08088235294117647,0.1332,pass,nevents > 205.00 AND nplay_video > 362.00 AND nchapters > 3.00 AND ndays_act > 5.00 AND grade > 0.00,0.41238938053097346,0.0373
